Author	DOB
Emile Habets	19de eeuw
Daniël de Lange	11 juli 1841
Maurits Smit	ca. 1849
T.H.F. van Riemsdijk	16 augustus 1848
Nicolaas de Roever	3 december 1850
F.P. ter Meulen	19de eeuw
A.L. de Rop	25 oktober 1837
C. Honigh	29 oktober 1845
A.C. Waller	1844
[tijdschrift] Vaderlandsche Letteroefeningen	
H.E. Beunke	14 september 1851
Jan de Louter	1847
Melchior Treub	26 december 1851
L.R. Koolemans Beynen	11 maart 1852
Anth. Grolman	3 januari 1843
G.E. Langemeijer	1903
P. Mathijsz.	16de eeuw
K.W. van Gorkom	1835
Albert Jan ten Brink	30 januari 1836
Frederik van Hogendorp	13 september 1843
H.L. Berckenhoff	28 april 1850
T.M. Tromp	7 maart 1857
H.U. Meyboom	17 december 1842
Henri Raloff	1843
A.L.W. Seyffardt	14 december 1840
M. van Andelst	16de eeuw
J.C.M. van Riemsdijk	1879
J.J.L. ten Kate	23 december 1819
Anton Gerard van Hamel	17 januari 1842
Robert Macalester Loup	16 november 1854
Anne Busken Huet-van der Tholl	14 mei 1827
Jacob de Witt	7 februari 1589
Johannes Reitsma A.Tzn.	15 december 1837
Gerrit de Vries	22 februari 1818
A.S.C. Wallis	21 juli 1857
Jan Philip de Bordes	7 juni 1817
Gerard Valette	1853
Max Rooses	10 februari 1839
L.A.J. Burgersdijk	11 maart 1828
Petrus Martinus Bots	21 november 1852
M.E.F. Elout van Soeterwoude	8 december 1851
A.E.J. Holwerda	1845
Abraham Robert Arntzenius	22 maart 1850
David van Hoogstraten	14 maart 1658
Carl Ludwig Lütkebühl jr.	8 februari 1846
Gerard Heymans	1857
Virginie Loveling	17 mei 1836
J. Röell	21 juli 1844
Jan Jacob van Geuns	15 december 1836
J.J.P. Valeton	14 oktober 1848
J.D. de Jong	14 oktober 1848
R. Feith	13 januari 1822
François de Bas	10 september 1840
H. Koekebakker	5 februari 1847
Pol de Mont	15 april 1857
J.A. Worp	21 januari 1851
J.A. Bientjes	26 april 1848
L. de Vlaming	19de eeuw
A.J.W. Farncombe Sanders	22 juli 1833
Joh. Dyserinck	12 maart 1835
George Eliot	22 november 1819
H.L.F. Pisuisse	22 oktober 1840
Jan van Beers	22 februari 1821
Hermannus Bouman	19 april 1822
J.H. Hooijer	27 maart 1844
Anthony Beaujon	28 juni 1853
M.A. Perk	23 april 1834
Jac. Moleschott	9 augustus 1822
Johannes Hermanus Gunning jr.	20 mei 1829
W.C. Mees	1882
Pieter Bruin	24 mei 1828
H.L. Drucker	11 augustus 1857
S.J. Fockema Andreae	10 april 1904
Philippus van Blom	16 augustus 1824
J. 't Hart	1932
C.C. Geertsema	9 juni 1843
R.P.J. Tutein Nolthenius	6 juni 1851
E.B. Kielstra	6 maart 1844
B. Sijmons	18 november 1853
Constantinus Bake	23 februari 1856
Josephine Giese	5 september 1856
Louis Couperus	10 juni 1863
J.W. van der Linden	1846
Hijman Binger	28 maart 1824
Jan Carel Matthes	29 juli 1836
Jacob Kuyper Hzn.	21 september 1821
Jan Izaak van Doorninck	27 maart 1840
Martina Geertruida Sara van der Feen	16 augustus 1850
W. Gosler	15 juni 1858
Hélène Swarth	25 oktober 1859
A. Bruining	2 juli 1846
P.A.M. Boele van Hensbroek	23 januari 1853
Fiore della Neve	3 april 1849
J.P. Hasebroek	6 november 1812
J.C. Loman jr.	22 mei 1825
Pieter Gerard van Schermbeek	28 januari 1848
Abraham Bredius	18 april 1855
P.W.A. Cort van der Linden	14 mei 1846
Pierre Daniel Chantepie de la Saussaye	9 april 1848
C.H. den Hertog	27 december 1846
Marie Agathe Boddaert	6 februari 1844
W.C. van Manen	8 augustus 1842
B. Dorhout Mees	30 december 1830
Willem van der Vlugt	12 maart 1853
Theodoor Carel Gobée	10 december 1836
F.S. van Nierop	1844
A.W. Kroon-Star Numan	1843
Arnold Werumeus Buning	21 januari 1846
Frans Netscher	30 april 1864
Geertruida Carelsen	10 april 1843
Jan Six	2 februari 1857
W.G.C. Byvanck	10 november 1848
F.J.L. Krämer	1850
Henri David Levyssohn Norman	21 juni 1836
Christiaan Snouck Hurgronje	8 februari 1857
Adriaan Pit	25 april 1860
Elise Knuttel-Fabius	7 maart 1857
Albartus Telting	18 augustus 1857
Johannes Mulder	18de eeuw
Joan Bohl	8 oktober 1836
S.E. Harthoorn	19de eeuw
Willem Pieter Cornelis Knuttel	29 januari 1854
G.W. Bruinsma	1 september 1840
Albertus Hendrikus Nijland	19 februari 1832
Matthias de Vries	9 november 1820
Louis Trenard	1914
Gerard Slothouwer	19de eeuw
Emile Seipgens	16 augustus 1837
Th. Swart Abrahamsz	1848
Willem A. Hecker	12 mei 1817
Willem Jacob Manssen	9 juli 1842
J.H. Kips	4 september 1862
George Alexander Wilken	13 maart 1847
N.J. Singels	4 juli 1857
Samuel Muller	18 januari 1785
Herman Frederik Carel ten Kate	21 juli 1858
Pieter Nicolaas van Kampen	26 januari 1818
A. Kluijver	4 december 1858
Frits Lapidoth	15 september 1861
Jan F. Beekman	20ste eeuw
J.H. van den Bosch	26 januari 1862
J. Menno Huizinga	19de eeuw
J.J.A.A. Frantzen	18 juli 1853
J.E. Sachse	19de eeuw
H. Was	1838
H.J. Polak	1 september 1844
Marcellus Emants	12 augustus 1848
W. Jaeger	19de eeuw
C.A. Steger	30 november 1827
J.A. Tours	19de eeuw
Izaak Jan le Cosquino de Bussy	13 september 1846
J.B.C. Adriaensen	20 oktober 1847
Jacob Samuel Speyer	20 december 1849
W.L. Penning	10 november 1840
R.A. Kollewijn	30 maart 1857
N.P. van den Berg	1831
Johanna A. Wolters	1853
C.C. Uhlenbeck	18 oktober 1866
Sybrandus Johannes Fockema Andreae	4 juni 1844
G.J. Boekenoogen	18 april 1868
L.W.C. van den Berg	29 oktober 1845
A.J. Immink	1838
P.J. Blok	10 januari 1855
Leo Simons	1 augustus 1862
H. J. Eymael	19 november 1848
G.H. Priem	1865
S.J. Warren	1847
K.O. Meinsma	14 januari 1865
J.H. Groenewegen	1859
J.F. van Bemmelen	26 december 1859
Leopold	7 september 1860
A.J. Bothenius Brouwer	1 november 1861
J.G. Gleichman	19 juli 1834
Hendrik Barend Greven	21 december 1850
Bernhard van Meurs	30 april 1835
Wolfgang Brandt	19de eeuw
Jan Frederik Niermeyer	11 juli 1866
R.C. Boer	31 januari 1863
Willem Frederik Andriessen	25 september 1865
Herman Heijermans	3 december 1864
L. Knappert	7 juli 1863
Edward B. Koster	14 september 1861
Marie Snijder van Wissenkerke	1864
Arnoldus Nicolaas Jacobus Fabius	25 februari 1855
M. Straub	1858
Samuel Kalff	1851
J.P. Moltzer	1850
H. Logeman	26 februari 1862
Willem Bilderdijk	7 september 1756
S.R. Steinmetz	1862
B.J.H. Ovink	1862
J.E. Enklaar	1846
Frans Coenen	24 april 1866
Elie van Rijckevorsel	22 maart 1845
Philippe Zilcken	20 april 1857
Cyriel Buysse	20 september 1859
A.W. Pulle	19de eeuw
Jan Veth	18 mei 1864
Joannes van der Vliet	24 april 1847
L. Serrurier	21 december 1846
Nicolaas Dirk Doedes	9 mei 1850
Betsy Juta	19de eeuw
August Gittée	5 januari 1858
Willem Gerard van Nouhuys	22 juni 1854
J.F.D. Blöte	
Ch.M. van Deventer	1 juli 1860
C.H.H. Spronck	1858
Johannes Theodorus Petrus de Groot	4 juli 1848
F.V. Engelenburg	17 maart 1863
Gerard Vissering	1 maart 1865
H.Z. Zegers de Beijl	27 januari 1849
Frederike J. van Uildriks	31 mei 1854
H.S.M. Wickevoort Crommelin	1866
Philippus Samuel van Ronkel	1 augustus 1870
J.H. van 't Hoff	30 augustus 1852
A.G. van Hamel	5 juli 1886
H. Heukels	1854
G.F. Haspels	7 april 1864
Willem Duflou	11 februari 1869
C. Winkler	1855
Jan Marcus Hoogvliet	6 mei 1799
C.A. Pekelharing	1848
H.Y. Groenewegen	1862
Foeke Buitenrust Hettema	6 juni 1862
W.L.P.A. Molengraaff	1858
Ida Heijermans	9 december 1861
Jacob Gerard Patijn	7 april 1836
W.M. Engelberts	19de eeuw
H.A. Lorentz	18 juli 1853
H. Zwaardemaker	10 mei 1857
Augusta de Wit	25 november 1864
Hendrik Clemens Muller	31 oktober 1855
L.J. Plemp van Duiveland	6 oktober 1868
J. Mathijs Acket	14 december 1862
G. den Tex	
H. Tz. Pyttersen	1845
Johan Hora Adema	1852
Maurits Wagenvoort	27 juni 1859
Carel Scharten	14 maart 1878
C.A.E. Wichmann	9 april 1851
D.C. Hesseling	15 juli 1859
Frederik van Eeden	3 april 1860
Frank van der Goes	13 februari 1859
M.W.F. Treub	30 november 1858
B.D. Eerdmans	24 april 1868
W.Ph. Scheuer	1 maart 1864
Joh. H. Been	8 februari 1859
H.A. Kooyker	8 mei 1832
F. Beelaerts van Blokland	21 januari 1872
G.H. Marius	1854
G.J. Kolff	19de eeuw
H.W.Ph.E. van den Bergh van Eysinga	9 augustus 1868
Hendrik Doeff	2 december 1777
O.M. de Munnick	9 mei 1841
Anna van Hogendorp	7 september 1841
J.H. van den Broek	30 augustus 1815
Gerrit Halfcaegh	17de eeuw
Herman Muntinghe	27 augustus 1752
Gianni Riotta	12 januari 1954
J.W. Doyer Jz.	1852
G.P. Rouffaer	1860
Margo Scharten-Antink	7 september 1869
A.W. Byvanck	4 juli 1884
Johannes Hermanus Gunning J. Hzn.	23 januari 1856
D.G. Jelgersma	1854
Margaretha Meijboom	29 juli 1856
D.E. Siegenbeek van Heukelom	4 juni 1850
D. Simons	1860
Egberdina Anna Junius	4 augustus 1868
F.A.F.C. Went	1863
Julius de Boer	6 oktober 1873
Gerrit van Gorkom	28 augustus 1833
Hendrik Johan Haverman	1857
L.S. Meijer	19de eeuw
H.T. Colenbrander	13 december 1871
Aletta H. Jacobs	9 februari 1854
Paul François Hubrecht	29 november 1829
Charlotte van Herwerden	19de eeuw
C.H.Th. Bussemaker	5 januari 1864
L.E. Visser	1871
Anna Ekker	1866
Conrad Th. van Deventer	29 september 1857
Judith Viorst	2 februari 1931
Frans Mijnssen	28 februari 1872
Ida Haakman	19de eeuw
Nellie van Kol	12 december 1851
Fleur Bourgonje	3 april 1946
Anna Germonprez	23 september 1866
M. Tonnet	19de eeuw
Gerard van Eckeren	29 november 1876
M.J. Pijnappel	26 januari 1830
Aloysius Brouwer Ancher	6 maart 1856
Hugo Krabbe	3 februari 1857
J.W. Jenny Weijerman	19de eeuw
P.C. Boutens	20 februari 1870
Bas Veth	21 oktober 1860
C.H. Kühn	1903
J.C. van Leyden	1873
W.P. Kops	28 augustus 1852
S. van Aken	19de eeuw
G.H. Betz	8 december 1850
A.D. van Assendelft de Coningh	12 april 1851
J. Marx	1943
Bernard Gewin	21 mei 1812
C.G.S. Sandberg	1866
T.J. de Boer	23 september 1866
Herman Robbers	4 september 1868
C.A. Worp-Roland Holst	1854
Arnoldus Wilhelmus Stellwagen	19 augustus 1844
J.H. de Veer	ca. 1860
G.H. van Waveren jr.	19de eeuw
N. Mansvelt	30 juli 1852
J.C.G. Grasé	19de eeuw
Guido Gezelle	1 mei 1830
H. van Hogendorp	1842
Gijsbert Karel graaf van Hogendorp	27 oktober 1762
Johannes Hasselman	21 oktober 1815
Marie Metz-Koning	12 mei 1864
Gerard van Hulzen	1 februari 1860
H.R. Offerhaus	1865
J.E. Jasper	1874
J.J.G. Vürtheim	1869
Richard de Cneudt	24 september 1877
E. van Hille	19de eeuw
J.P. van Rossum	19de eeuw
C.K. Elout	7 augustus 1870
J. Mar. Ruys	19de eeuw
Maurice Wilmotte	11 juli 1861
J.A. Simons-Mees	26 juni 1863
Antoon Derkinderen	20 december 1859
P.J. van Löben Sels	1851
A.W. Nieuwenhuis	1864
I. Kooistra	1861
G.P. Bakker	19de eeuw
P. Leendertz (jr.)	1860
B. Symons	19de eeuw
Willem Lodewijk van Helten	30 augustus 1849
Alfred Listal	1877
Gideon Busken Huet	31 mei 1860
L.N. de Jong	1869
K.C. Boxman-Winkler	9 januari 1857
Dan. Engelen	19 juni 1791
F.J.L. Rompel	7 januari 1871
H.G. van der Vies	20 augustus 1875
T.J. Bezemer	13 januari 1869
Jacobus Boelen Jhz.	16 mei 1791
L.A.A. van Kervel	19de eeuw
J. Everts	18 oktober 1882
Maria Muller-Lulofs	1 september 1854
Paul Fredericq	12 augustus 1850
Elizabeth Visser	1908
Israël Querido	1 oktober 1872
Gerrit Simons	1876
Johan de Meester	6 februari 1860
Louis Carbin	17 april 1883
Theodoor Bernard van Lelyveld	1867
Johanna Naber	25 maart 1859
Martina G. Kramers	1863
C.B. Hylkema	1870
G. van Rijnberk	1875
W. de Vletter	19de eeuw
M.J. Brusse	26 juni 1873
Hélène Mercier	17 oktober 1839
D. Bos	13 september 1862
H.L. Oort	1864
Pieter Corbeels	12 maart 1755
Johannes Everts jr.	1878
F. de Haan	1863
F.A. van Engen	19de eeuw
L.F. de Beaufort	23 maart 1879
Sara Bouterse	19de eeuw
J.H. Blankert	17 februari 1862
Hendrik Mulder	1884
Wilhelmus Johannes Kühler	8 december 1874
G.A. van den Bergh van Eysinga	27 juni 1874
W.E. van Dam van Isselt	25 april 1870
Johan Christiaan van Eerde	11 maart 1871
W. Vollgraff	1876
G. Polvliet	19de eeuw
Jan L. Walch	2 januari 1879
Ch.F. Haje	1873
A. Hotz	1855
Sam Goudsmit	1884
A. Kluyver	1858
L.H. Grondijs	25 september 1878
Jan Limburg	1954
Karel Vos	22 augustus 1874
Jozef Israëls	27 januari 1824
Tine van Buul	26 februari 1919
Martha Johanna Hamaker	19de eeuw
A.E. Thierens	4 november 1805
Gustaaf D' Hondt	12 juni 1865
J.J. Salverda de Grave	19 maart 1863
J. de Jager	19de eeuw
J.W.T. Cohen Stuart	9 november 1854
H.J. Hamburger	1859
W.H. Hasselbach	19de eeuw
J.M. Hoogvliet	30 juni 1860
J.H. Deibel	19de eeuw
Nicolaas Japikse	29 november 1872
A.J.G. Maclaine Pont	7 januari 1883
Anna van Gogh-Kaulbach	31 december 1869
Louis Havet	1849
J. van den Bergh van Eysinga-Elias	1880
M.H. Lem	19de eeuw
A. Meyroos	19de eeuw
J. Hobma	19de eeuw
I. Zeehandelaar	19de eeuw
H.P. Staal	17 juni 1845
J. Boudewijnse	1 maart 1836
J.D.C. van Dokkum	1868
Leo van Puyvelde	30 juli 1882
Samuel Pierre l' Honoré Naber	30 januari 1865
Jan Jacob Thomson	14 februari 1882
F. Schmidt-Degener	10 december 1881
Arthur van Schendel	5 maart 1874
Johannes Aarnout Loebèr jr.	1869
J.H.F. Kohlbrugge	1865
H. Buringh Boekhoudt	2 januari 1859
Nico Oosterbeek	
Th. van Ameide	29 december 1877
P.N. van Eyck	1 oktober 1887
C. te Lintum	10 april 1863
O. Oppermann	1873
P. van Romburgh	1855
S. Bonn	5 februari 1881
Hendrika Boer	19de eeuw
J.A. van Hamel	8 oktober 1880
Pieter Valkhoff	26 december 1875
Geerten Gossaert	9 februari 1884
Rommert Casimir	29 september 1877
Johannes Benedictus Kan	31 augustus 1831
Eltjo Aldegondus van Beresteyn	2 april 1876
William Davids	19de eeuw
Johanna Westerdijk	4 januari 1883
H.G. van der Waals	19de eeuw
G.J. Nieuwenhuis	1877
Jan Greshoff	15 december 1888
Dorothée Buys	1887
Jacob Israël de Haan	31 december 1881
D. van Blom	19 december 1877
Adriaan van Oordt	19 februari 1865
E.M. ten Cate	26 december 1868
J.H. Holwerda	1873
J.A.N. Knuttel	14 mei 1878
Herman Middendorp	2 september 1888
Jan Jelles Hof	27 oktober 1872
Nico van Suchtelen	25 oktober 1878
Multatuli	2 maart 1820
C.J. Hasselman	1861
J. Prinsen J.Lzn	9 maart 1866
Willem Meijer	18 november 1842
F.M. Wibaut	23 juni 1859
Herman Baccaert	23 november 1883
J.Ph. Vogel	1871
P.H. van Moerkerken jr.	17 februari 1877
H.N. de Fremery	1867
Jac. P. Thijsse	25 juli 1865
J.B. Kan	18 mei 1873
Jan Slingenberg	1870
H.F. Jonkman	19de eeuw
G.J. Heering	15 maart 1879
J.J. Tesch	7 februari 1877
P. Otten	1885
Coen Hissink	1878
J.J. Bekaar	19de eeuw
Wilhelm Loeb	22 juli 1891
Ina Boudier-Bakker	15 april 1875
Aart van der Leeuw	23 juni 1876
J.D. Bierens de Haan	14 oktober 1866
Nicolaas Messchaert	19 juli 1774
A.S. van Oven	19de eeuw
Just Havelaar	12 februari 1880
Frederik Daniel Eduard van Ossenbruggen	1869
Hendrik Onnen	1842
Karel van de Woestijne	10 maart 1878
Jan de Gruyter	18 december 1859
Johan Toot	19de eeuw
Johan Huizinga	7 december 1872
H.L. de Beaufort	1880
Richard Roland Holst	4 december 1868
Th.M. Roest van Limburg	29 april 1865
C.E. Hooykaas	9 juni 1878
H. Burger	1864
Willem Kalma	19de eeuw
H.J.C.G. Eilbracht	
J. Bosboom Nz.	19de eeuw
Eduard Thorn Prikker	1874
J. Philip van Goethem	1885
Annie Salomons	26 juni 1885
H.J. Westerling	
Jacobus Gerardus Veldheer	1866
M.H. van Campen	1 juli 1874
Ernst Heldring	1871
Marie Loke	1870
J.C. Hol	19de eeuw
Johan van Meurs	19de eeuw
Peter Spaan	1882
N.H. Swellengrebel	12 augustus 1885
A.W. Weissman	1858
Anton Reinhard Falck	19 maart 1777
Leonie van Nierop	19de eeuw
C. Pekelharing	1876
J.J.B. Elzinga	28 augustus 1879
Johan Wesselink	1880
J. Berlage	1861
H.P.N. Muller	2 april 1859
J. Rietema	1879
Jan Overduin	2 januari 1907
Gerrit Kalff jr.	1 september 1889
Jo van Ammers-Küller	13 augustus 1884
E. W. Holthuysen	1787
M.A. van Herwerden	1874
J.G. Sleeswijk	7 oktober 1879
Frans Bastiaanse	14 mei 1868
A.W. van Renterghem	1845
François Pauwels	25 oktober 1888
Jan Prins	5 februari 1876
P.F.H. Fromberg	19 februari 1811
G.J. Hoogewerff	20 juni 1884
J. de Wit	20ste eeuw
F. de Sinclair	1873
Gerard van den Hoek	2 februari 1892
Jan J. Zeldenthuis	9 januari 1894
Frank Gericke	1887
Zadok Stokvis	19 maart 1878
A.H. Blaauw	17 september 1882
Kornelis Sneyders de Vogel	27 december 1876
G.C.J. Vosmaer	1854
C.A. van Manen	19de eeuw
C. Becker	16de eeuw
F.E. Posthumus Meyjes	1865
Tannelie Blom	21 september 1954
F.W.J.G. Snijder van Wissenkerke	3 april 1856
Matthée Corneille Valeton	1847
L.L.C.M. van Outhoorn	19de eeuw
Jan van Rossem	19de eeuw
Joseph Loopuit	20 oktober 1864
Halbe Binnerts	26 oktober 1842
Pieter Willem de Koning	1867
Jean-Pierre van Rossem	29 mei 1945
Top Naeff	24 maart 1878
A. van Collem	13 oktober 1858
Em. Querido	6 augustus 1871
G.P. Frets	8 november 1879
Th. de Meester	16 december 1851
Tobie Goedewaagen	15 maart 1895
W. Nolen	31 juli 1854
Wally Moes	1856
D. Fock	19 juni 1858
P. van Schilfgaarde	3 mei 1890
W. de Sitter	6 mei 1872
Karel Wasch	1886
Johan W. Schotman	10 maart 1892
Jac. D. Huizinga	9 januari 1659
S. Pinkhof	15 juni 1893
A.A.H. Struycken	1873
A.J. Wensinck	7 augustus 1882
B.C.J. Loder	1849
Käthe Mussche	1893
J.P. Kuenen	1866
K. Jansma	25 maart 1891
Jac. van Looy	13 september 1855
C.T. van Valkenburg	1872
S. Ritsema van Eck	19de eeuw
R. de Josselin de Jong	1868
Jan van Nijlen	10 november 1884
Henri van Booven	17 juli 1877
Jelte Dijkstra	1879
P.H. Ritter jr.	16 augustus 1882
J.J. Boasson	2 augustus 1882
J.M. van IJssel de Schepper-Becker	21 oktober 1885
Adriaan J. Barnouw	9 oktober 1877
P. Geyl	15 december 1887
Petrus Raëskin	1872
M.J. Sirks	13 oktober 1889
Frits Hopman	14 juli 1877
Dirk Merens	18de eeuw
Herman Lysen	1882
J. van Oudshoorn	20 december 1876
Isidoor Teirlinck	2 januari 1851
J. de Marees van Swinderen	2 maart 1892
R.A. Verweij	19de eeuw
Meint Joustra	1 april 1871
E.C. van Dorp	5 september 1872
W. Elink Schuurman	19de eeuw
A. van Hengel	19de eeuw
G.F.E. Gonggrijp	1878
Multavidi	19de eeuw
W.B. Kristensen	1867
H. van Loon	17de eeuw
Dan. de Lange jr.	19de eeuw
C. Lekkerkerker	1869
J. Rietsema	19de eeuw
Marie Schmitz	30 november 1883
H. Oort	24 februari 1778
J.A. Eigeman	19de eeuw
A.H.M.J. van Kan	18 juli 1877
Willem Jan Mari van Eysinga	31 januari 1878
Martin Albers	19de eeuw
A.C. Josephus Jitta	1887
K.H. Roessingh	11 maart 1886
G. Titta Rosa	5 maart 1891
S.H. de Roos	14 september 1877
Laurens van der Waals	21 april 1885
Henriette Laman Trip-de Beaufort	13 oktober 1890
Andrew de Graaf	17 mei 1867
Simon van Brakel	24 december 1816
P.C.J.A. Boeles	22 november 1873
Job Steynen	1876
Jan Romein	30 oktober 1893
Hendrik Cramer	23 augustus 1884
Emmanuel de Bom	9 november 1868
Madeleine Böhtlingk	29 oktober 1885
Herman Poort	18 juli 1886
Cornelis Veth	3 maart 1880
D.M.G. Koch	1881
Timon Hendrik Fokker	8 maart 1880
A.J. de Sopper	6 december 1875
Herman Frijda	22 juli 1887
Marie Cremers	12 januari 1874
C.A. Verrijn Stuart	22 oktober 1865
Jeanne van Schaik-Willing	8 oktober 1895
Jac. C. Bloem	25 februari 1822
Johannes van der Elst	16 maart 1888
Hk. de Vries	1867
E.E. Gewin	1 mei 1879
J.A. Schroeder	1888
Is.P. de Vooys	3 februari 1875
Antoon Thiry	8 september 1888
E.J. Dijksterhuis	28 oktober 1892
H.A. Enno van Gelder	7 oktober 1889
Marcus van Blankenstein	13 juni 1880
Johan Fabricius	24 augustus 1899
Jo de Wit	21 mei 1894
Henri Bakels	19de eeuw
Hendrika Ghijsen	22 november 1884
F. Adama van Scheltema	1884
A. Geyl	19de eeuw
L. Ali Cohen	1895
Achilles Mussche	12 augustus 1896
Johan Huijts	1897
W.M.F. Mansvelt	10 februari 1891
Lode Baekelmans	26 januari 1879
J.P. Fockema Andreae	30 juli 1879
Edith Werkendam	14 oktober 1896
J. Faber	1870
Frits G. Tingen	1900
A.M. Hammacher	12 november 1897
Isidoor van Beugem	23 september 1889
Elisabeth Reitsma	14 januari 1897
L.M.A. von Schmid	6 juli 1859
Sybrandi Braak	7 oktober 1871
C.M. van Hille-Gaerthé	17 mei 1881
Petrus van Renesse	15de eeuw
André Jolles	7 augustus 1874
E.F. Kossmann	1861
D.Th. Jaarsma	1878
B.H. Rethmeier	19de eeuw
Gerbert Scholten	19de eeuw
E.C. Abendanon	2 december 1878
F. Dijkema	5 januari 1877
J.P.A. François	5 juli 1889
H.H.J. Moulijn-Haitsma Mulier	1877
Nine van der Schaaf	29 april 1882
Jo Landheer	16 oktober 1900
P. Verhagen Lzn.	19de eeuw
A.B. Droogleever Fortuyn	7 november 1886
J. Burger	19de eeuw
J.J.L. Duyvendak	28 juni 1889
Gerard Brom	17 april 1882
J.A. Lambert-van der Kolf	19de eeuw
C. Bakker	1863
J. Bierens de Haan	3 mei 1892
J.W. Marmelstein	
Miek Janssen	1890
G.J.D.C. Stempels	19de eeuw
Jenny Mollinger	1897
W. Kuenen	19de eeuw
A.S. Oppenheim	19de eeuw
